Story Number, Name, Owner, Priority, Estimate, As a, I want, So that, IMPL Details
User Story 1.1,Undo & redo functionality,Marko,3,4,User,Options to undo and redo my moves,I can strategize and see what the computer moves in response to my move,"Create an iterable to store all historical moves, and a iterator to keep track of the current move in the iterable"
User Story 1.2,Cell constructor,Jack,5,3,Developer,optimization of cells to be done automatically with less constructor calls,"I don't need to collect as many arguments and create multiple instances for one cell; moreover, increasing code reusability with a high degree of optimizability","Create a cell builder class that takes in the bare minimum parameters (coordinates and piece type), then to automatically build the cell"
User Story 1.3,Override save file,Aedas,4,1,User,Option to override the original board if we want to save a board with the same name,I don't have to think of a new name everytime I want to save a board,"Rewrite the board txt file if there is one (except for Starter.txt, in that case it throws an exception) "
User Story 1.4,Add scenes,Aedas,1,5,User,There to be a game over screen and a options screen,I can customise the game/adjust the colors,"Create an abstract scene implementation with concrete scenes, then add color attributes to View class, and modify the code that sets the color of game objects accordingly."
User Story 1.5,Make the game resizable ,Aedas,2,7,User,The game window to be resizable ,I can run the game in monitors of different resolutions,Use relative positioning instead of absolute positioning in all game Objects. Add relative screen coordinates to every object to be shown on screen
User Story 1.6,Board customizer,Vicky,7,5,User,To be able to make new boards within the game itself,I don't need to write up properly formatted text files for different board scenarios,"Create a new view that allows you to click into each cell of the 5x5 grid, then the user is allowed to change the piece type of each of the cells on the board. Note that the 3 musketeers cannot be in the same row. The board is then converted into a text file that stores piece location data as well as the current turn."
User Story 1.7,Moves command,Marko,6,4,Developer,"To be able to perform various commands on the movement of pieces, without worrying the complex implementations behind the moves.",I can develop use this as an interface for any further commands I may add in the future,Refactor the moves to fit the command pattern; the agent will act as a commander that can execute different commands. The command for moves will be standalone and the implementation details are separated from the agent (commander).
User Story 1.6/1.8,Board Customizer,Vicky,11,5,To be able to make new boards within the game itself,I don't need to write up properly formatted text files for different board scenarios,"Create a new view that allows you to click into each cell of the 5x5 grid, then the user is allowed to change the piece type of each of the cells on the board. Note that the 3 musketeers cannot be in the same row. The board is then converted into a text file that stores piece location data as well as the current turn.",
User Story 1.9,Preview Board,Aedas,10,4 to 5,User,To be able to see what board I will be play with,I don't want to load a board and then exit the game,Load root of scene class to another class
User Story 2.2,Turn Counter Visualizer,Marko,9,4,User,To see how many turns have passed since the start of the game ,"I know if I have used less turns each game, as well as all previous moves that were moved.","Set up a turn counter under the title of the playing screen, as well as a side list that contains all the moves that have been performed for each and every turn."
User Story 2.3,Game GUI,Aedas,8,8,User,To be able to have an working graphical user interface to interact and play the game ,I do not have to use the console to play ThreeMusketeers and to have stunning graphics as visual aids when I play,"Create a MVC model where Scenes are the views and Panels are the controllers, and finally the model being the ThreeMusketeer class. "
User Story 2.4,Save Button GUI,Jack,12,4,User,To be able to save the game after playing for awhile,I can retrieve my previous progress during the next time I play,Call upon the model's (ThreeMusketeers) save function and provide a textfield and save state to alert whether or not the file is being saved or not
